Test_ID,Workload,Memory_Tech,Scale,PE_Placement,Status,Latency_ms,Throughput,Wall_Clock_Time_s,Error
00001,BFS,DRAM,16,Bank,PASS,68.00,"3.86 M",.034397728,
00002,BFS,SRAM,16,Bank,PASS,20.27,"12.93 M",.031235742,
00003,BFS,ReRAM,16,Bank,PASS,43.54,"6.02 M",.031424415,
00004,BFS,PCM,16,Bank,PASS,150.64,"1.74 M",.032834855,
00005,BFS,STT-MRAM,16,Bank,PASS,66.15,"3.96 M",.038629316,
00006,GEMM,DRAM,16,Bank,PASS,68.00,"3.86 M",.029342542,
00007,GEMM,SRAM,16,Bank,PASS,20.27,"12.93 M",.030065868,
00008,GEMM,ReRAM,16,Bank,PASS,43.54,"6.02 M",.030235784,
00009,GEMM,PCM,16,Bank,PASS,150.64,"1.74 M",.031534045,
00010,GEMM,STT-MRAM,16,Bank,PASS,66.15,"3.96 M",.034562055,
00011,SpMV,DRAM,16,Bank,PASS,68.00,"3.86 M",.029518839,
00012,SpMV,SRAM,16,Bank,PASS,20.27,"12.93 M",.029985013,
00013,SpMV,ReRAM,16,Bank,PASS,43.54,"6.02 M",.027139743,
00014,SpMV,PCM,16,Bank,PASS,150.64,"1.74 M",.027981132,
00015,SpMV,STT-MRAM,16,Bank,PASS,66.15,"3.96 M",.027768381,
00016,DotProduct,DRAM,16,Bank,PASS,68.00,"3.86 M",.033068679,
00017,DotProduct,SRAM,16,Bank,PASS,20.27,"12.93 M",.031325430,
00018,DotProduct,ReRAM,16,Bank,PASS,43.54,"6.02 M",.030419293,
00019,DotProduct,PCM,16,Bank,PASS,150.64,"1.74 M",.028754264,
00020,DotProduct,STT-MRAM,16,Bank,PASS,66.15,"3.96 M",.028845702,
00021,Histogram,DRAM,16,Bank,PASS,68.00,"3.86 M",.029123240,
00022,Histogram,SRAM,16,Bank,PASS,20.27,"12.93 M",.034227514,
00023,Histogram,ReRAM,16,Bank,PASS,43.54,"6.02 M",.029980009,
00024,Histogram,PCM,16,Bank,PASS,150.64,"1.74 M",.030625992,
00025,Histogram,STT-MRAM,16,Bank,PASS,66.15,"3.96 M",.029322054,
00026,PrefixSum,DRAM,16,Bank,PASS,68.00,"3.86 M",.032624405,
00027,PrefixSum,SRAM,16,Bank,PASS,20.27,"12.93 M",.030168113,
00028,Reduction,DRAM,16,Bank,PASS,68.00,"3.86 M",.029531555,
00029,Reduction,SRAM,16,Bank,PASS,20.27,"12.93 M",.029987420,
00030,Stencil1D,DRAM,16,Bank,PASS,68.00,"3.86 M",.031252931,
00031,Stencil1D,SRAM,16,Bank,PASS,20.27,"12.93 M",.033125053,
