config,timestamp,latency_ms,throughput_mvps,edges_per_sec_m,per_vertex_ns
bfs_bank_inorder_dram_1k_deg16,2025-11-17T11:53:43.362951,68.0,3.86,61.68,1037.53
bfs_bank_inorder_dram_4k_deg16,2025-11-17T11:53:43.372448,68.0,3.86,61.68,1037.53
bfs_bank_inorder_reram_1k_deg16,2025-11-17T11:53:43.381770,43.54,6.02,96.32,664.42
bfs_bank_inorder_reram_4k_deg16,2025-11-17T11:53:43.390627,43.54,6.02,96.32,664.42
bfs_bank_inorder_sram_1k_deg16,2025-11-17T11:53:43.399932,20.27,12.93,206.89,309.34
bfs_bank_inorder_sram_4k_deg16,2025-11-17T11:53:43.408513,20.27,12.93,206.89,309.34
bfs_bank_simple_alu_dram_1k_deg16,2025-11-17T11:53:43.417559,68.0,3.86,61.68,1037.53
bfs_bank_simple_alu_dram_4k_deg16,2025-11-17T11:53:43.426637,68.0,3.86,61.68,1037.53
bfs_bank_simple_alu_reram_1k_deg16,2025-11-17T11:53:43.435259,43.54,6.02,96.32,664.42
bfs_bank_simple_alu_reram_4k_deg16,2025-11-17T11:53:43.443610,43.54,6.02,96.32,664.42
bfs_bank_simple_alu_sram_1k_deg16,2025-11-17T11:53:43.452101,20.27,12.93,206.89,309.34
bfs_bank_simple_alu_sram_4k_deg16,2025-11-17T11:53:43.463016,20.27,12.93,206.89,309.34
bfs_subarray_inorder_dram_1k_deg16,2025-11-17T11:53:43.472630,68.0,3.86,61.68,1037.53
bfs_subarray_inorder_dram_4k_deg16,2025-11-17T11:53:43.481736,68.0,3.86,61.68,1037.53
bfs_subarray_inorder_reram_1k_deg16,2025-11-17T11:53:43.490568,43.54,6.02,96.32,664.42
bfs_subarray_inorder_reram_4k_deg16,2025-11-17T11:53:43.500717,43.54,6.02,96.32,664.42
bfs_subarray_inorder_sram_1k_deg16,2025-11-17T11:53:43.509076,20.27,12.93,206.89,309.34
bfs_subarray_inorder_sram_4k_deg16,2025-11-17T11:53:43.517403,20.27,12.93,206.89,309.34
bfs_subarray_simple_alu_dram_1k_deg16,2025-11-17T11:53:43.526803,68.0,3.86,61.68,1037.53
bfs_subarray_simple_alu_dram_4k_deg16,2025-11-17T11:53:43.535250,68.0,3.86,61.68,1037.53
bfs_subarray_simple_alu_reram_1k_deg16,2025-11-17T11:53:43.543789,43.54,6.02,96.32,664.42
bfs_subarray_simple_alu_reram_4k_deg16,2025-11-17T11:53:43.551912,43.54,6.02,96.32,664.42
bfs_subarray_simple_alu_sram_1k_deg16,2025-11-17T11:53:43.561893,20.27,12.93,206.89,309.34
bfs_subarray_simple_alu_sram_4k_deg16,2025-11-17T11:53:43.570337,20.27,12.93,206.89,309.34
